WA	Eagle Bulk Shipping CEO Sophocles Zoullas resigns	EAGLE BULK SHIPPING	Company	neutral	1	0.0	0.33	Fri May 01 12:45:19 +0000 2015	0
NY	Can't wait for Honda to score	HONDA	Company	neutral	1	0.0	0.33	Wed Apr 29 19:06:05 +0000 2015	0
NJ	RT @Dreamdefenders: George Zoley. CEO, Founder, Chairman of the Board at GEO Group. Made $22 million in 4 yrs off #slaveholders hustle http…	GEO GROUP	Company	neutral	1	0.0	0.875104	Wed Apr 29 19:06:08 +0000 2015	0
NJ	RT @BMW: The #BMW #5series' traffic jam assistant controls the speed of the car and its distance from the car ahead. http://t.co/rfcECGOc33	BMW	Company	positive	1	0.488215	0.971429	Wed Apr 29 19:06:22 +0000 2015	0
CA	Toyota received 1 mil employee ideas in a year. Learn how you can do the same: http://t.co/gqL9CPvI0B  #innovation	TOYOTA	Company	positive	1	0.621956	0.894776	Wed Apr 29 19:08:00 +0000 2015	0
MI	RT @AutoSportsArt: Chevrolet Reveals Future Virtual Race Car http://t.co/zt7CIEMzCd https://t.co/C8uk413hiH	CHEVROLET	Company	positive	1	0.371429	0.33	Wed Apr 29 19:08:20 +0000 2015	0
OK	RT @Honda: Adrenaline junkies, here’s your chance to ride in an @IndyCar. Enter the FSIS Sweeps at http://t.co/TCFpoOMR6R http://t.co/BTwU5…	HONDA	Company	positive	1	0.647501	0.215778	Wed Apr 29 19:08:38 +0000 2015	0
NJ	RT @NatGeo: Tesla unveils home battery. Why is it a big deal? http://t.co/Dsg6tV5rn3	TESLA	Company	positive	1	0.547737	0.995256	Fri May 01 20:51:35 +0000 2015	0
AZ	Stan Lee Gets a Starring Role in Audi's Short Film About His Famous Cameos http://t.co/GtrAlqZSHh via @adweek	AUDI	Company	positive	1	0.613977	0.33	Thu Apr 30 21:05:04 +0000 2015	0
FL	Volvo Cars Embrace EDM, Announce Partnership… http://t.co/Syg6yc0SBU #EDMNews #Featured #AboveBeyond #avicii #Pepsi #edm#follow#electro	VOLVO CARS	Company	positive	1	0.38403	0.33	Thu Apr 30 21:05:05 +0000 2015	0
TX	Ford Working With Apple on CarPlay, But Won't Give Up Control of the Dashboard http://t.co/RGHtQxdpcx	FORD	Company	negative	1	-0.386698	0.33	Thu Apr 30 21:05:12 +0000 2015	0
CA	GEO GROUP INC. physically tortured Anthony Martini for a year. Do   not support these terrorists! Drop their shares!  http://t.co/JBuJDZoZNI	GEO GROUP INC.	Company	negative	1	-0.577315	0.803206	Sat May 02 04:13:53 +0000 2015	0
NY	2009 BMW 318D SE GREY 59 PLATE FACELIFT MODEL 99P NO RESERVE - Full read by eBay http://t.co/ePmKljPFYj http://t.co/USx9DympNj	BMW	Company	neutral	1	0.0	0.33	Sat May 02 04:14:42 +0000 2015	0
NY	1982 (Y) Ferrari Mondial 3.0 Quattrovalvole - Rosso Red - Excellent Condition  - Full read… http://t.co/RHJkCawIqJ http://t.co/ijpDrHr1ZA	FERRARI MONDIAL	Automobile	negative	1	-0.336065	0.33	Sat May 02 04:14:43 +0000 2015	0
NY	2005 Volvo S40 1.8 SE 1 FORMER KEEPER SERVICE HISTORY SALOON MANUAL SILVER - Full read by … http://t.co/Nt36GWYNgA http://t.co/J7QpVICTMo	VOLVO S40	Automobile	neutral	1	0.0	0.33	Sat May 02 04:14:44 +0000 2015	0
NY	LHD 2014 LAND ROVER RANGE ROVER EVOQUE 2.2 SD4 PRESTIGE 5D AUTO   - Full read by eBay http://t.co/dyebUgvUMN http://t.co/eMF0Q1JWDN	MITSUBISHI	Company	positive	1	0.2196	0.33	Sat May 02 04:14:46 +0000 2015	0
NY	2009 BMW 318D SE GREY 59 PLATE FACELIFT MODEL 99P NO RESERVE - Full read by eBay http://t.co/vmxwpUTLP9 http://t.co/cSTFMZduJn	BMW	Company	neutral	1	0.0	0.33	Sat May 02 04:14:46 +0000 2015	0
