state,model,polarity
NY,ROLLS-ROYCE,positive
NY,BMW,neutral
WI,BMW,neutral
NY,TOYOTA,neutral
NY,FORD,neutral
NY,TOYOTA,neutral
NY,FORD,neutral
NY,DODGE,negative
NY,CHEVROLET,neutral
NY,DODGE,negative
NY,FORD,neutral
NY,BMW,neutral
NY,BENTLEY,positive
NY,BENTLEY,neutral
NY,TOYOTA,neutral
NY,FORD,neutral
NY,CHEVROLET,neutral
FL,TESLA,positive
NY,FORD,neutral
NY,BMW,neutral
NY,BENTLEY,positive
NY,BENTLEY,neutral
NY,TOYOTA,neutral
NY,FORD,neutral
NY,CHEVROLET,neutral
NY,DODGE,negative
NY,TOYOTA,neutral
NY,FORD,neutral
NY,CHEVROLET,neutral
NY,DODGE,negative
NY,FORD,neutral
NY,BMW,neutral
NY,BENTLEY,positive
NY,BENTLEY,neutral
NY,FORD,neutral
NY,CHEVROLET,neutral
NY,TOYOTA,neutral
NY,DODGE,negative
NY,BMW,neutral
NY,MITSUBISHI,neutral
CA,BMW,neutral
CA,BMW,neutral
NY,HONDA,positive
OR,KIA,neutral
NY,HONDA,positive
NY,HONDA,positive
OR,TESLA,positive
VA,EAGLE,positive
CO,FORD,neutral
NY,CHEVROLET,positive
NY,FERRARI,neutral
NY,FORD,neutral
NY,TOYOTA,positive
NY,CHEVROLET,positive
NY,FERRARI,neutral
NY,CHEVROLET,neutral
NY,FORD,neutral
NY,FORD,neutral
OK,TESLA,negative
NY,FORD,neutral
NY,FORD,neutral
NY,FORD,neutral
AR,CADILLAC,negative
NY,FORD,neutral
NY,TOYOTA,positive
NY,CHEVROLET,positive
NY,FORD,neutral
NY,FERRARI,neutral
NY,FORD,neutral
NY,CHEVROLET,positive
NY,FERRARI,neutral
NY,FORD,neutral
NY,CHEVROLET,positive
NY,TOYOTA,positive
NY,FERRARI,neutral
NY,FORD,neutral
NY,TESLA,negative
NY,TOYOTA,positive
NY,FORD,neutral
NY,CHEVROLET,positive
NY,FORD,neutral
NY,TOYOTA,positive
NY,FORD,neutral
NY,FORD,neutral
NY,FORD,neutral
NY,TOYOTA,positive
NY,FORD,neutral
NY,FORD,neutral
NY,FORD,neutral
NY,BMW,neutral
NY,FORD,neutral
NY,BMW,neutral
NY,BMW,neutral
NY,FORD,neutral
NY,BMW,neutral
NY,FORD,neutral
NY,BMW,neutral
NY,MORGAN,positive
NY,MORGAN,positive
NY,BMW,neutral
NY,MORGAN,positive
NY,FORD,neutral
NY,BMW,neutral
NY,BMW,neutral
NY,FORD,neutral
NY,MORGAN,positive
NY,BMW,neutral
NY,FORD,neutral
NY,BMW,neutral
NY,FORD,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,FORD,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,LEXUS,neutral
NY,CHEVROLET,positive
NY,CHEVROLET,positive
MI,MCLAREN,neutral
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
NY,CHEVROLET,positive
FL,JEEP,neutral
CA,BMW,neutral
NY,CHEVROLET,neutral
NY,CHEVROLET,neutral
NY,CHEVROLET,neutral
NY,CHEVROLET,neutral
NY,CHEVROLET,neutral
NY,CHEVROLET,neutral
OH,VOLVO,positive
OH,VOLVO,positive
CA,TOYOTA,positive
NJ,TOYOTA,positive
NY,BMW,neutral
IL,MINI,negative
NY,BMW,positive
NY,TOYOTA,positive
NY,TOYOTA,positive
NY,FORD,negative
PA,TESLA,neutral
NY,AUSTIN,neutral
NY,BMW,positive
NY,DODGE,neutral
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
ME,SUZUKI,positive
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,DODGE,neutral
NY,DODGE,neutral
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,VOLKSWAGEN,neutral
NY,VOLKSWAGEN,neutral
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,CHRYSLER,negative
NY,TOYOTA,neutral
NY,TOYOTA,positive
OH,HONDA,neutral
OK,NISSAN,negative
NY,CHEVROLET,neutral
NY,HONDA,neutral
NY,CHEVROLET,neutral
NY,HONDA,neutral
CA,BMW,neutral
NY,FORD,positive
NY,FORD,positive
NY,CHEVROLET,neutral
NY,HONDA,neutral
NY,BMW,neutral
NY,BMW,neutral
NY,FERRARI,neutral
NY,DODGE,negative
NY,FORD,neutral
FL,BMW,neutral
NY,TOYOTA,positive
NY,FORD,neutral
NY,FORD,neutral
NY,TOYOTA,positive
NY,FORD,neutral
NY,FORD,neutral
NY,FERRARI,neutral
NY,DODGE,negative
NY,FORD,neutral
NY,FERRARI,neutral
NY,FERRARI,neutral
NY,DODGE,negative
NY,DODGE,negative
NY,FORD,neutral
NY,FORD,neutral
NC,TESLA,positive
NY,FERRARI,neutral
NY,DODGE,negative
NY,FORD,neutral
NY,FORD,neutral
NY,FERRARI,neutral
NY,DODGE,negative
NY,FORD,neutral
NY,FORD,neutral
CA,FORD,neutral
NY,FORD,neutral
NY,TOYOTA,positive
NY,FORD,neutral
NY,FORD,neutral
NY,FORD,neutral
NY,FORD,neutral
NY,DODGE,neutral
NY,FORD,neutral
NY,FORD,neutral
NY,FORD,neutral
NY,BMW,neutral
NY,AUDI,neutral
DE,FORD,positive
TX,HYUNDAI,positive
NC,VOLVO,negative
NY,MINI,neutral
NY,MINI,neutral
NY,FORD,neutral
NY,BMW,neutral
NY,AUDI,neutral
OR,AUDI,positive
NY,MORGAN,positive
MO,MERCEDES-BENZ,neutral
PA,MERCEDES-BENZ,neutral
WI,MERCEDES-BENZ,neutral
VT,MERCEDES-BENZ,neutral
MT,TOYOTA,positive
CO,PONTIAC,neutral
NJ,ROLLS-ROYCE,positive
NY,MAZDA,negative
NY,MAZDA,negative
NY,TOYOTA,neutral
NY,TOYOTA,neutral
NY,NISSAN,neutral
NY,NISSAN,neutral
NY,MAZDA,negative
NY,TOYOTA,neutral
NY,NISSAN,neutral
NY,TESLA,positive
AZ,AUDI,neutral
NY,ROLLS-ROYCE,positive
NY,BMW,neutral
WI,BMW,neutral
NY,TOYOTA,neutral
