1937 FORD	NY	6
1937 FORD	MN	2
1952 FORD	FL	2
1955 FORD	NY	112
1955 FORD	AZ	2
1955 FORD	ME	2
1957 FORD	KS	2
ACURA	NY	84
ACURA	WV	20
ACURA	TX	16
ACURA	WA	12
ACURA	AL	6
ACURA CL	FL	2
ACURA CL	WA	2
ACURA CL	WV	2
ACURA ILX	NY	6
ACURA INTEGRA	NV	6
ACURA LEGEND	NY	76
ACURA MDX	NM	8
ACURA MDX	OH	6
ACURA MDX	NV	4
ACURA MDX	CA	2
ACURA MDX	WV	2
ACURA RL	WV	2
ACURA RSX	FL	6
ACURA TL	CA	10
ACURA TL	FL	10
ACURA TL	WY	2
ACURA TSX	FL	2
ACURA TSX	WV	2
ADAMS MORGAN	WV	12
ADESA AUSTIN	TX	10
AMERICAN EAGLE	NY	84
AMERICAN EAGLE	CA	2
AMERICAN EAGLE AIRLINES	CA	2
AMERICAN EAGLE FURNITURE	CA	4
AMERICAN EAGLE JEANS	CA	4
AMERICAN EAGLE OUTFITTERS	NY	362
AMERICAN EAGLE OUTFITTERS	FL	6
AMERICAN EAGLE OUTFITTERS	MI	6
AMERICAN EAGLE OUTFITTERS	NM	4
AMERICAN EAGLE OUTFITTERS	WA	2
AMERICAN GOLD EAGLE	NY	12
ANTWERPEN HYUNDAI	WV	2
APTERA SOFTWARE	WY	2
ASIA FORD	NV	2
AUDI	NY	596
AUDI	CA	154
AUDI	AK	98
AUDI	WV	84
AUDI	FL	80
AUDI A4	NY	34
AUDI A4	WV	10
AUDI A4	NM	8
AUDI A4	AK	6
AUDI A4	CA	6
AUDI A6	FL	6
AUDI A6	CA	2
AUDI A7	WA	6
AUDI A8	NM	2
AUDI ALLROAD	WV	2
AUDI MARKETING	WV	6
AUDI Q7	WA	2
AUDI S3	CA	2
AUDI S4	TX	12
AUDI S4	NV	8
AUDI S4	WY	6
AUDI S4	CA	2
AUDI S5	CA	2
AUDI S6	WY	6
AUDI USA	AK	2
AUSTIN ALLEGRO	AK	8
AUSTIN ARTS	CT	6
AUSTIN BEAD CO.	NM	6
AUSTIN BEAD CO.	NY	6
AUSTIN BEER GARDEN BREWING COMPANY	TX	4
AUSTIN ENERGY	TX	16
AUSTIN FLOWER COMPANY	TX	6
AUSTIN FOOD	TX	30
AUSTIN GROUP	TX	6
AUSTIN JAVA COMPANY	TX	2
AUSTIN KAYAK	FL	6
AUSTIN METRO	TX	12
AUSTIN METRO	GA	6
AUSTIN METRO	IA	6
AUSTIN POWERS	TX	6
AUSTIN POWERS	FL	2
AUSTIN POWERS	OR	2
AUSTIN POWERS	WI	2
AUSTIN RIVERS	CA	2
AUSTIN SPEED SHOP	TX	6
AUSTIN TORTILLA CO.	TX	12
AUSTIN USA	ID	6
AUSTIN USA	NJ	6
AUSTIN USA	NV	6
AUSTIN USA	OH	6
AUSTIN USA	WI	6
AUSTIN VINTAGE GUITARS	TX	2
AUTOMOBILI LAMBORGHINI	NY	8
BENTLEY	NY	138
BENTLEY	CA	70
BENTLEY	FL	48
BENTLEY	AK	38
BENTLEY	TX	26
BENTLEY CONTINENTAL GT	NY	100
BENTLEY CONTINENTAL GT	AZ	2
BENTLEY CONTINENTAL GTC	WV	6
BENTLEY MOTORS	AK	6
BENTLEY PROJECTS	CA	2
BENTLEY SYSTEMS.	WV	2
BERTHA MINI DRIVER	WV	6
BLUE LOTUS VIETNAMESE CUISINE	CA	2
BMW	NY	1574
BMW	CA	154
BMW	NM	120
BMW	AK	100
BMW	FL	94
BMW 330	NY	10
BMW 5 SERIES	NY	6
BMW 5 SERIES	AK	2
BMW 5 SERIES	WV	2
BMW 5 SERIES	WY	2
BMW 6 SERIES	CA	6
BMW 650	NY	46
BMW 650	CA	2
BMW CANADA	WI	2
BMW CCA	FL	2
BMW DRIVERS	WV	2
BMW E46	NY	202
BMW FINANCIAL SERVICES	NE	4
BMW I	CA	8
BMW I	GA	6
BMW I	UT	6
BMW I	PA	2
BMW INC	CA	10
BMW NORTHWEST	WA	2
BMW OPEN	VA	2
BMW PERFORMANCE CENTER	NY	2
BMW WELT	WA	4
BOMMARITO BUICK	NM	6
BOURBON ADAMS MORGAN	WV	2
BRUSSELS MINI EUROPE	WI	4
BUGATTI	AZ	8
BUGATTI	MN	6
BUGATTI	OH	6
BUGATTI	NY	2
BUGATTI	TX	2
BUGATTI TYPE 13	MI	6
BUICK	NY	216
BUICK	NV	16
BUICK	CA	14
BUICK	NM	10
BUICK	WV	10
BUICK CENTURY	NM	8
BUICK CENTURY	FL	2
BUICK LESABRE	NV	6
BUICK LESABRE	WV	6
BUICK LESABRE	NM	4
BUICK LESABRE	WA	2
BUICK RENDEZVOUS	NM	6
BUICK RENDEZVOUS	FL	2
BUICK VERANO	AK	6
BUICK VERANO	MI	4
BURDICK BMW	WI	2
BYD	NY	6
CADILLAC	NY	294
CADILLAC	FL	46
CADILLAC	CA	44
CADILLAC	TX	40
CADILLAC	WY	14
CADILLAC BAR SA	TX	2
CADILLAC CTS	NY	110
CADILLAC CTS	CA	12
CADILLAC CTS	WV	8
CADILLAC CTS	AZ	6
CADILLAC CTS	MI	6
CADILLAC CTS.	HI	2
CADILLAC DEVILLE	NY	12
CADILLAC DEVILLE	NV	8
CADILLAC DEVILLE	TX	8
CADILLAC DEVILLE	CA	2
CADILLAC DEVILLE	NM	2
CADILLAC FLEETWOOD BROUGHAM	NY	2
CADILLAC RECORDS	OR	6
CADILLAC RECORDS	WV	6
CADILLAC RECORDS	WY	6
