state,model,value
WA,CHRYSLER,4
WA,MORGAN OFFICE,6
WA,NISSAN GT-R,6
WA,ACURA,12
WA,VOLKSWAGEN,8
WA,NISSAN VERSA,2
WA,MITSUBISHI I,6
WA,MAYBACH,6
WA,ROLLS-ROYCE,6
WA,SUZUKI,2
WA,CHEVROLET,2
WA,HONDA ODYSSEY,2
WA,HONDA,8
WA,LEXUS,2
WA,TESLA ENERGY,2
WA,KIA SPECTRA,2
WA,SCION XA,6
WA,EAGLE BULK SHIPPING,6
WA,GMC ACADIA,2
WA,AUDI,22
WA,CHEVROLET SILVERADO,4
WA,SUBARU,6
WA,FORD,32
WA,BMW WELT,4
WA,MORGAN TEXTILES,2
WA,EAGLE CREEK SOFTWARE,6
WA,BUICK,2
WA,MORGAN ENGINEERING,2
WA,MORGAN STUDIOS,2
WA,JAGUAR LAND ROVER,2
WA,BMW,44
WA,ACURA CL,2
WA,HONDA CR-V,6
WA,BMW NORTHWEST,2
WA,NISSAN,8
WA,MINI FRANCE,2
WA,BUICK LESABRE,2
WA,GMC CANYON,6
WA,CADILLAC SEVILLE,2
WA,CADILLAC CTS,2
WA,VOLVO,6
WA,TOYOTA,42
WA,MAZDA,4
WA,AUDI Q7,2
WA,CROWN NISSAN,2
WA,KINDER MORGAN PIPELINE,2
WA,GMC SIERRA,4
WA,AMERICAN EAGLE OUTFITTERS,2
WA,AUDI A7,6
WA,SAAB 900,6
WA,GMC SAVANA,6
WA,KIA,8
WA,MORGAN INDUSTRIES,2
WA,SAAB 9-3,6
WA,CHEVROLET EXPRESS,6
WA,SHELBY PLATTS,2
WA,TOYOTA HIGHLANDER,6
WA,TOYOTA SEQUOIA,4
WA,SUBARU OUTBACK,4
WA,TESLA,32
DE,FORD,8
DE,CADILLAC,2
DE,TOYOTA,6
DE,KINDER MORGAN INC,12
DE,MORGAN HERITAGE,56
DE,BMW,14
DE,SHELBY GT350,6
DE,HONDA,6
DE,VOLVO,12
DE,NISSAN,6
DE,VOLKSWAGEN,2
DE,BENTLEY,12
DE,AUDI,0
DE,MERCURY,6
DE,MASERATI,6
WI,CHEVROLET CHEVELLE,2
WI,BMW,58
WI,HONDA,54
WI,CADILLAC,12
WI,BURDICK BMW,2
WI,CHEVROLET SILVERADO,22
WI,FORD,62
WI,MERCURY PARK LANE,2
WI,CADILLAC CTS,6
WI,MERCEDES-BENZ,14
WI,ACURA,6
WI,GMC SIERRA,6
WI,FORD PARTNER,6
WI,HONDA CR-V,6
WI,AUSTIN POWERS,2
WI,HYUNDAI ELANTRA,4
WI,TOYOTA CAMRY HYBRID,24
WI,KIA DEALERSHIP,2
WI,HONDA ODYSSEY,2
WI,NISSAN VERSA,0
WI,EAGLE,2
WI,SUBARU OUTBACK,2
WI,TESLA,30
WI,MASERATI SHOWROOM BUCHAREST,6
WI,VOLKSWAGEN GROUP,2
WI,VOLVO,12
WI,TESLA ENERGY,8
WI,INFINITI,8
WI,SOARING EAGLE CASINO,2
WI,AUDI A4,2
WI,MITSUBISHI,18
WI,MCLAREN,2
WI,NISSAN JUKE,6
WI,SUBARU,2
WI,LAMBORGHINI,2
WI,FERRARI,2
WI,ENDRAS BMW,2
WI,MITSUBISHI ECLIPSE,2
WI,KIA OPTIMA,2
WI,TESLA MOTORS,2
WI,CHEVORLET,6
WI,SCION XB,6
WI,DOLPHIN TOYOTA,2
WI,KIA SPORTAGE,12
WI,TOYOTA,92
WI,MASERATI,2
WI,FORD FLEX,2
WI,LEXUS RX,6
WI,AUDI,34
WI,DODGE,-4
WI,LEXUS,18
WI,NISSAN ALTIMA,2
WI,VOLKSWAGEN RABBIT,2
WI,MERCURY MOUNTAINEER,2
WI,BMW CANADA,2
WI,BRUSSELS MINI EUROPE,4
WI,NISSAN,8
WI,KIA,6
WI,VOLKSWAGEN,2
WI,MINI MANSIONS,2
WI,TOYOTA OWNERS,2
