None	Vintage 1975 Donruss Truckin' 33 Card Lot Vans Pickups Ford Chevy Dodge Datsun + - Full re… http://t.co/5hMPMRU4vt http://t.co/VTcJmoftCs	Thu Mar 26 06:49:27 +0000 2015	New York
None	BBC News - Ford tech 'stops people speeding' http://t.co/Ea1x6eKPAB	Thu Mar 26 06:49:29 +0000 2015	UK
None	RT @EvoIndiaMag: #Gujarat CM Patel, @Ford Pres &amp; CEO Mark Fields + @FordIndia leadership team unveil Figo Aspire at #FordSanad http://t.co/…	Thu Mar 26 06:49:30 +0000 2015	kochi , India
[-96.314569, 30.570774]	“@BiIlionaires: Galaxy wrapped Nissan GTR 😁🌌 http://t.co/AMsI4oiQdB”. @JManziel2	Thu Mar 26 06:49:34 +0000 2015	College Station, Texas
None	Mahindra &amp; Mahindra Ltd in talks to buy Ferrari designer- Pocket News Alert | @scoopit http://t.co/z4NwKP6CGq	Thu Mar 26 06:49:37 +0000 2015	Mumbai
None	RT @burzeenb: @SirishChandran Presence of Mark Fields at showcase of #Figoaspire goes to show how impt the car is 4 Ford in India. Failure …	Thu Mar 26 06:49:43 +0000 2015	kochi , India
None	Day at the Ferrari showroom, if I only could have one of my own 😍 #Ferrari #carshowroom #cars… https://t.co/IrLJaJ8yO1	Thu Mar 26 06:49:47 +0000 2015	Isle Of Sheppey
None	http://t.co/2Psp5vso0v #9390 Tom Ford Beauty eye shadow palette in ENCHANTED BNIB rare sold out item!! http://t.co/6KMdj1bWSI	Thu Mar 26 06:49:53 +0000 2015	USA
None	Morning all, it’s raining here in the ‘Ford, I quite like rain #intheminority #weather	Thu Mar 26 06:49:54 +0000 2015	   UK
None	http://t.co/KeMeEyeVXn Ford aims to triple exports from India with $1 bln plant: SANAND, Gujarat (Reuters) - Ford Motor ...  Pune Computer	Thu Mar 26 06:49:54 +0000 2015	Pune
None	RT @SirishChandran: #Sanand belt near Ahmedabad has Tata Motors &amp; Ford. Guj CM says coming up - 2 Maruti plants, Honda bikes &amp; Honda cars	Thu Mar 26 06:49:55 +0000 2015	kochi , India
None	RT @anandibenpatel: On my way to inaugurate Ford India's state-of-the-art manufacturing facility at Sanand. Join me live: http://t.co/TuAZK…	Thu Mar 26 06:49:57 +0000 2015	London UK
None	Corgi Vanguards 1:43 Scale Ford Transit Van Mk1 Dirty Barn Find Style    - Full read by eB… http://t.co/qAS4rSBAN0 http://t.co/tGXSdFqV5Q	Thu Mar 26 06:50:02 +0000 2015	New York
