New York	Vintage 1975 Donruss Truckin' 33 Card Lot Vans Pickups Ford Chevy Dodge Datsun + - Full re… http://t.co/5hMPMRU4vt http://t.co/VTcJmoftCs	Thu Mar 26 06:49:27 +0000 2015	United States
None	BBC News - Ford tech 'stops people speeding' http://t.co/Ea1x6eKPAB	Thu Mar 26 06:49:29 +0000 2015	United Kingdom
Kerala	RT @EvoIndiaMag: #Gujarat CM Patel, @Ford Pres &amp; CEO Mark Fields + @FordIndia leadership team unveil Figo Aspire at #FordSanad http://t.co/…	Thu Mar 26 06:49:30 +0000 2015	India
Texas	“@BiIlionaires: Galaxy wrapped Nissan GTR 😁🌌 http://t.co/AMsI4oiQdB”. @JManziel2	Thu Mar 26 06:49:34 +0000 2015	United States
Maharashtra	Mahindra &amp; Mahindra Ltd in talks to buy Ferrari designer- Pocket News Alert | @scoopit http://t.co/z4NwKP6CGq	Thu Mar 26 06:49:37 +0000 2015	India
Kerala	RT @burzeenb: @SirishChandran Presence of Mark Fields at showcase of #Figoaspire goes to show how impt the car is 4 Ford in India. Failure …	Thu Mar 26 06:49:43 +0000 2015	India
None	Day at the Ferrari showroom, if I only could have one of my own 😍 #Ferrari #carshowroom #cars… https://t.co/IrLJaJ8yO1	Thu Mar 26 06:49:47 +0000 2015	United Kingdom
None	http://t.co/2Psp5vso0v #9390 Tom Ford Beauty eye shadow palette in ENCHANTED BNIB rare sold out item!! http://t.co/6KMdj1bWSI	Thu Mar 26 06:49:53 +0000 2015	United States
None	Morning all, it’s raining here in the ‘Ford, I quite like rain #intheminority #weather	Thu Mar 26 06:49:54 +0000 2015	United Kingdom
Maharashtra	http://t.co/KeMeEyeVXn Ford aims to triple exports from India with $1 bln plant: SANAND, Gujarat (Reuters) - Ford Motor ...  Pune Computer	Thu Mar 26 06:49:54 +0000 2015	India
Kerala	RT @SirishChandran: #Sanand belt near Ahmedabad has Tata Motors &amp; Ford. Guj CM says coming up - 2 Maruti plants, Honda bikes &amp; Honda cars	Thu Mar 26 06:49:55 +0000 2015	India
None	RT @anandibenpatel: On my way to inaugurate Ford India's state-of-the-art manufacturing facility at Sanand. Join me live: http://t.co/TuAZK…	Thu Mar 26 06:49:57 +0000 2015	United Kingdom
New York	Corgi Vanguards 1:43 Scale Ford Transit Van Mk1 Dirty Barn Find Style    - Full read by eB… http://t.co/qAS4rSBAN0 http://t.co/tGXSdFqV5Q	Thu Mar 26 06:50:02 +0000 2015	United States
New York	Corgi Vanguards 1:43 Scale Ford Transit Van Mk1 Dirty Barn Find Style    - Full read by eB… http://t.co/jESIK0XDMw http://t.co/Zwxlf1iU2R	Thu Mar 26 06:50:07 +0000 2015	United States
Berlin	Ford to assemble version of Edge at 6th plant in China - http://t.co/qz2dBasq4n http://t.co/I3VNias0PA #Nissan #news	Thu Mar 26 06:50:10 +0000 2015	Germany
Berlin	Blancpain, Pirelli World Challenge to announce tie-in on Friday - http://t.co/zuVYmNId1h http://t.co/4U5FtoYkds #Nissan #news	Thu Mar 26 06:50:10 +0000 2015	Germany
Kerala	RT @kartiksinghee: RT @autocarindiamag: #Ford unveils #FigoAspire sedan; coming in June 2015 &gt;&gt; http://t.co/3HchG5nVYJ @FordIndia http://t.…	Thu Mar 26 06:50:13 +0000 2015	India
None	RT @Gianlu_DAle: Ferrari already tested during winter testing (with Sauber) the new PU, only 30hp less than Mercedes (840hp), debut in Spai…	Thu Mar 26 06:50:14 +0000 2015	None
None	2015 Ford Mustang 50 Year Limited Edition http://t.co/Z1cabchAlJ http://t.co/qgVTdqnKyC http://t.co/aQYkUXuOTt ☼	Thu Mar 26 06:50:17 +0000 2015	United Kingdom
Arizona	RT @Moonwalking17: Day at the Ferrari showroom, if I only could have one of my own 😍 #Ferrari #carshowroom #cars… https://t.co/IrLJaJ8yO1	Thu Mar 26 06:50:25 +0000 2015	United States
Maharashtra	#Ford #Figo #Aspire compact sedan, #FiestaClassic's replacement to be here in June 2015. Production has already started at the Sanand plant.	Thu Mar 26 06:50:29 +0000 2015	India
Kerala	RT @SirishChandran: #Gujarat CM Patel, @Ford Pres &amp; CEO Mark Fields + @FordIndia leadership team unveil Figo Aspire at #FordSanad http://t.…	Thu Mar 26 06:50:31 +0000 2015	India
Delhi	RT @ReutersIndia: Ford aims to triple exports from India with $1 bln plant http://t.co/dJEYuf0XEq by @aditishahsays	Thu Mar 26 06:50:32 +0000 2015	India
Gauteng	2015 FORD RANGER has been in stock for 111 days and the price has dropped!  http://t.co/Ep5DYW4gdI	Thu Mar 26 06:50:34 +0000 2015	South Africa
Gauteng	2015 NISSAN NP 200 has been in stock for 30 days check best offer!  http://t.co/LtcaOERpUo	Thu Mar 26 06:50:41 +0000 2015	South Africa
Gauteng	2015 NISSAN NP 200 has been in stock for 30 days check best offer!  http://t.co/nH4rD6NIiR	Thu Mar 26 06:50:42 +0000 2015	South Africa
None	@Palesa_Motau Lol remember how I could stand Modern Muse but not Tom Ford?? O tla ba sharp.	Thu Mar 26 06:50:42 +0000 2015	South Africa
None	Ford aims to triple exports from India with US$1 billion http://t.co/gAFj6BTCRM via @Easy_Branches #easybranches http://t.co/d7vws4qwE1	Thu Mar 26 06:50:43 +0000 2015	None
None	#Ford cars slow when they see speed-limit signs - BBC News http://t.co/QYh5zFrF9a	Thu Mar 26 06:50:44 +0000 2015	United Kingdom
Gauteng	2007 FORD BANTAM has been in stock for 30 days check best offer!  http://t.co/YHsKfKH9YM	Thu Mar 26 06:50:46 +0000 2015	South Africa
Gauteng	2006 FORD FIESTA 1.4I 5DR has been in stock for 30 days check best offer!  http://t.co/V7Ah28VLuD	Thu Mar 26 06:50:49 +0000 2015	South Africa
Gauteng	2004 FORD FIESTA 1.4I 5DR has been in stock for 30 days check best offer!  http://t.co/Mt5cv9ZkDX	Thu Mar 26 06:50:49 +0000 2015	South Africa
None	@GPRightNow Both will be back. Williams vs Ferrari, and Fernando can just do the best he can!. #F1	Thu Mar 26 06:50:53 +0000 2015	United Kingdom
Lorraine	RT @GlobalAutosport: Ford Mustang | http://t.co/qloS7XZR4h http://t.co/fQLpE5uGyi	Thu Mar 26 06:50:57 +0000 2015	France
None	Ford aims to triple exports from India with $1 billion plant: Thomson ReutersTo match interview FORD-INDIA/By ... http://t.co/l2ZQ0IfnDi	Thu Mar 26 06:51:00 +0000 2015	United States
